id,text,label
133,UPI transaction of Rs.3259.00 made to zomato on 10-Dec-25. Ref No 7250056196. Avl bal Rs.16017.00.,Food & Delivery
134,Your a/c XXXX1628 debited by Rs.6299.00 on 08-Dec-25 to bigbazaar@upi. Ref No 8229336663. Avl bal Rs.33448.00.,Shopping
135,Your UPI transaction of Rs.9873.00 to irctc was successful. Ref No 3460251080.,Travel & Booking
136,Failed UPI transaction of Rs.13144.00 attempted at dominos@upi on 17-Jun-25. Ref No 6973206554. Amount will be reversed if debited.,Failed Transactions
137,You have sent Rs.15131.00 to sister@upi via UPI. Ref No 1584214936. Date: 23-Apr-25. Avl bal Rs.59171.00.,Transfers Sent
138,Rs.2039.00 credited to your a/c XXXX5254 from paytm@upi. Ref No 8564323165. Avl bal Rs.3215.00.,Transfers Received
139,Failed UPI transaction of Rs.11660.00 attempted at ola@upi on 05-Apr-25. Ref No 3155526938. Amount will be reversed if debited.,Failed Transactions
140,Your UPI transaction of Rs.19660.00 to makemytrip was successful. Ref No 5731862331.,Travel & Booking
141,UPI transaction of Rs.2295.00 made to burgerking on 28-Mar-25. Ref No 3163218307. Avl bal Rs.72205.00.,Food & Delivery
142,Your UPI transaction of Rs.4909.00 to airindia was successful. Ref No 8343786206.,Travel & Booking
143,UPI transaction of Rs.3433.00 made to burgerking on 07-Dec-25. Ref No 5498541581. Avl bal Rs.43926.00.,Food & Delivery
144,Rs.3555.00 credited to your a/c XXXX2260 from refund@upi. Ref No 1634356146. Avl bal Rs.91829.00.,Transfers Received
145,Rs.10898.00 paid via UPI for bsnl bill. Ref No 9566769814.,Bills & Recharge
146,Your a/c XXXX5600 debited by Rs.15486.00 on 04-Apr-25 to amazon@upi. Ref No 6711113686. Avl bal Rs.41204.00.,Shopping
147,Rs.12214.00 credited to your a/c XXXX2173 from refund@upi. Ref No 7738004066. Avl bal Rs.87179.00.,Transfers Received
148,Failed UPI transaction of Rs.9904.00 attempted at swiggy@upi on 09-Sep-25. Ref No 6770086084. Amount will be reversed if debited.,Failed Transactions
149,Failed UPI transaction of Rs.18711.00 attempted at zomato@upi on 30-Aug-25. Ref No 2111715141. Amount will be reversed if debited.,Failed Transactions
150,Rs.8127.00 paid via UPI for jio bill. Ref No 4651510404.,Bills & Recharge
151,Your UPI transaction of Rs.500.00 to makemytrip was successful. Ref No 9778249071.,Travel & Booking
152,Your UPI transaction of Rs.9375.00 to bookmyshow was successful. Ref No 4629665577.,Travel & Booking
153,Rs.12464.00 credited to your a/c XXXX2661 from company@upi. Ref No 5175786343. Avl bal Rs.63677.00.,Transfers Received
154,Rs.12799.00 paid via UPI for airtel bill. Ref No 2377671436.,Bills & Recharge
155,Failed UPI transaction of Rs.9226.00 attempted at dominos@upi on 17-Aug-25. Ref No 6108996048. Amount will be reversed if debited.,Failed Transactions
156,UPI AutoPay: Rs.4936.00 deducted for youtube subscription. Ref No 5866214327.,Entertainment/Subscriptions
157,Rs.751.00 paid via UPI for dth bill. Ref No 8540616408.,Bills & Recharge
158,Rs.4193.00 debited towards bmtc ride via UPI. Ref No 1996100731. Avl bal Rs.53864.00.,Transport
159,Rs.17142.00 paid via UPI for bsnl bill. Ref No 5936184089.,Bills & Recharge
160,You have sent Rs.16842.00 to friend@upi via UPI. Ref No 3065036690. Date: 10-Jun-25. Avl bal Rs.85065.00.,Transfers Sent
161,UPI AutoPay: Rs.7628.00 deducted for hotstar subscription. Ref No 1094979015.,Entertainment/Subscriptions
162,UPI AutoPay: Rs.10273.00 deducted for tataplay subscription. Ref No 5118328784.,Entertainment/Subscriptions
163,UPI AutoPay: Rs.14352.00 deducted for netflix subscription. Ref No 2624501316.,Entertainment/Subscriptions
164,Your a/c XXXX4493 debited by Rs.15680.00 on 20-Mar-25 to bigbazaar@upi. Ref No 1237697184. Avl bal Rs.57419.00.,Shopping
165,Rs.2874.00 paid via UPI for vodafone bill. Ref No 5475176097.,Bills & Recharge
166,UPI transaction of Rs.8638.00 made to zomato on 28-Dec-25. Ref No 7771983292. Avl bal Rs.83987.00.,Food & Delivery
167,UPI AutoPay: Rs.18861.00 deducted for spotify subscription. Ref No 8819105815.,Entertainment/Subscriptions
168,UPI AutoPay: Rs.14646.00 deducted for youtube subscription. Ref No 9019754209.,Entertainment/Subscriptions
169,Rs.11748.00 debited towards ola ride via UPI. Ref No 9479347942. Avl bal Rs.65740.00.,Transport
170,Your a/c XXXX5812 debited by Rs.16590.00 on 03-May-25 to shoppersstop@upi. Ref No 4676219414. Avl bal Rs.68160.00.,Shopping
171,Failed UPI transaction of Rs.6756.00 attempted at ola@upi on 22-Apr-25. Ref No 3416567619. Amount will be reversed if debited.,Failed Transactions
172,Failed UPI transaction of Rs.9231.00 attempted at amazon@upi on 24-Nov-25. Ref No 4925945614. Amount will be reversed if debited.,Failed Transactions
173,UPI transaction of Rs.9044.00 made to zomato on 14-Jan-25. Ref No 5866296341. Avl bal Rs.37268.00.,Food & Delivery
174,You have sent Rs.8171.00 to friend@upi via UPI. Ref No 1936878460. Date: 15-Sep-25. Avl bal Rs.37322.00.,Transfers Sent
175,Rs.8397.00 debited towards rapido ride via UPI. Ref No 7493756731. Avl bal Rs.84446.00.,Transport
176,Your a/c XXXX9376 debited by Rs.14549.00 on 28-Nov-25 to shoppersstop@upi. Ref No 4679165860. Avl bal Rs.25115.00.,Shopping
177,Rs.2115.00 debited towards bmtc ride via UPI. Ref No 1388652667. Avl bal Rs.29660.00.,Transport
178,Rs.6484.00 debited towards delhimetro ride via UPI. Ref No 1304993464. Avl bal Rs.36034.00.,Transport
179,UPI transaction of Rs.15983.00 made to swiggy on 03-Dec-25. Ref No 4753652526. Avl bal Rs.92215.00.,Food & Delivery
180,You have sent Rs.7982.00 to sister@upi via UPI. Ref No 9543975870. Date: 05-May-25. Avl bal Rs.35527.00.,Transfers Sent
181,Your UPI transaction of Rs.3427.00 to airindia was successful. Ref No 1356504936.,Travel & Booking
182,Your UPI transaction of Rs.6297.00 to indigo was successful. Ref No 3475200102.,Travel & Booking
183,UPI AutoPay: Rs.19597.00 deducted for spotify subscription. Ref No 3236191684.,Entertainment/Subscriptions
184,You have sent Rs.15882.00 to mother@upi via UPI. Ref No 9401342165. Date: 12-Jan-25. Avl bal Rs.25730.00.,Transfers Sent
185,Failed UPI transaction of Rs.18260.00 attempted at amazon@upi on 30-Jul-25. Ref No 7818836037. Amount will be reversed if debited.,Failed Transactions
186,UPI transaction of Rs.11338.00 made to pizzahut on 25-Jan-25. Ref No 4767092912. Avl bal Rs.18639.00.,Food & Delivery
187,Rs.17777.00 credited to your a/c XXXX2209 from paytm@upi. Ref No 8319622617. Avl bal Rs.79061.00.,Transfers Received
188,Failed UPI transaction of Rs.13347.00 attempted at amazon@upi on 16-Mar-25. Ref No 9515614564. Amount will be reversed if debited.,Failed Transactions
189,Your a/c XXXX4330 debited by Rs.11693.00 on 03-Dec-25 to myntra@upi. Ref No 8091774278. Avl bal Rs.61899.00.,Shopping
190,Rs.8044.00 credited to your a/c XXXX8360 from refund@upi. Ref No 6674778709. Avl bal Rs.45937.00.,Transfers Received
191,Your UPI transaction of Rs.6842.00 to bookmyshow was successful. Ref No 9117868634.,Travel & Booking
192,Rs.13707.00 paid via UPI for vodafone bill. Ref No 3417404681.,Bills & Recharge
193,Rs.3694.00 paid via UPI for airtel bill. Ref No 7036238093.,Bills & Recharge
194,UPI AutoPay: Rs.9310.00 deducted for gaana subscription. Ref No 3027759009.,Entertainment/Subscriptions
195,Your a/c XXXX6851 debited by Rs.3012.00 on 31-Oct-25 to shoppersstop@upi. Ref No 1285589209. Avl bal Rs.52569.00.,Shopping
196,Rs.18621.00 debited towards rapido ride via UPI. Ref No 6217991516. Avl bal Rs.93524.00.,Transport
197,Your UPI transaction of Rs.16196.00 to irctc was successful. Ref No 7931467496.,Travel & Booking
198,You have sent Rs.11042.00 to father@upi via UPI. Ref No 4443605256. Date: 25-Dec-25. Avl bal Rs.28159.00.,Transfers Sent
199,Your a/c XXXX3427 debited by Rs.8614.00 on 20-Oct-25 to myntra@upi. Ref No 9076197894. Avl bal Rs.56463.00.,Shopping
200,Failed UPI transaction of Rs.418.00 attempted at ola@upi on 30-Mar-25. Ref No 3260094851. Amount will be reversed if debited.,Failed Transactions
201,You have sent Rs.14641.00 to father@upi via UPI. Ref No 4675614324. Date: 21-Jun-25. Avl bal Rs.43912.00.,Transfers Sent
202,Your a/c XXXX8578 debited by Rs.17026.00 on 20-Mar-25 to myntra@upi. Ref No 3175329856. Avl bal Rs.25233.00.,Shopping
203,UPI transaction of Rs.17480.00 made to dominos on 03-Jul-25. Ref No 5803570974. Avl bal Rs.58317.00.,Food & Delivery
204,Failed UPI transaction of Rs.3986.00 attempted at amazon@upi on 19-Oct-25. Ref No 9295317809. Amount will be reversed if debited.,Failed Transactions
205,Rs.10240.00 debited towards bmtc ride via UPI. Ref No 2233835141. Avl bal Rs.30342.00.,Transport
206,Failed UPI transaction of Rs.9277.00 attempted at zomato@upi on 18-Dec-25. Ref No 2727809826. Amount will be reversed if debited.,Failed Transactions
207,Your a/c XXXX9648 debited by Rs.1414.00 on 12-Jul-25 to shoppersstop@upi. Ref No 3797186820. Avl bal Rs.88475.00.,Shopping
208,Rs.10500.00 credited to your a/c XXXX7094 from company@upi. Ref No 6915255967. Avl bal Rs.14120.00.,Transfers Received
209,Rs.13552.00 debited towards ola ride via UPI. Ref No 2463957973. Avl bal Rs.58750.00.,Transport
210,Rs.2693.00 paid via UPI for bescom bill. Ref No 9335737357.,Bills & Recharge
211,UPI AutoPay: Rs.2282.00 deducted for hotstar subscription. Ref No 4904481622.,Entertainment/Subscriptions
212,Your a/c XXXX4041 debited by Rs.2645.00 on 21-Jan-25 to amazon@upi. Ref No 3132519504. Avl bal Rs.63518.00.,Shopping
213,Failed UPI transaction of Rs.13082.00 attempted at amazon@upi on 29-Jan-25. Ref No 8253564526. Amount will be reversed if debited.,Failed Transactions
214,UPI AutoPay: Rs.10614.00 deducted for gaana subscription. Ref No 2459949322.,Entertainment/Subscriptions
215,Failed UPI transaction of Rs.16599.00 attempted at zomato@upi on 17-Sep-25. Ref No 9513658154. Amount will be reversed if debited.,Failed Transactions
216,UPI transaction of Rs.5343.00 made to zomato on 09-Jan-25. Ref No 2837753637. Avl bal Rs.26660.00.,Food & Delivery
217,UPI transaction of Rs.12020.00 made to zomato on 25-Dec-25. Ref No 6424151539. Avl bal Rs.50184.00.,Food & Delivery
218,Failed UPI transaction of Rs.4631.00 attempted at zomato@upi on 12-Apr-25. Ref No 4169474790. Amount will be reversed if debited.,Failed Transactions
219,Failed UPI transaction of Rs.4062.00 attempted at dominos@upi on 13-Jul-25. Ref No 1717870104. Amount will be reversed if debited.,Failed Transactions
220,Rs.5580.00 debited towards delhimetro ride via UPI. Ref No 9034122120. Avl bal Rs.8244.00.,Transport
221,Rs.4703.00 paid via UPI for dth bill. Ref No 1201448572.,Bills & Recharge
222,Your a/c XXXX6978 debited by Rs.13287.00 on 14-May-25 to amazon@upi. Ref No 2206491781. Avl bal Rs.63410.00.,Shopping
223,Failed UPI transaction of Rs.6940.00 attempted at swiggy@upi on 21-Jan-25. Ref No 8377688619. Amount will be reversed if debited.,Failed Transactions
224,Your UPI transaction of Rs.18480.00 to indigo was successful. Ref No 9758883239.,Travel & Booking
